bug_id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,94f54835103fd6cfe58cf39075189fed92331710,19996a0244663869580dc9b9864fd367bdaa7e38,apache_rocketmq-4071,https://github.com/apache/rocketmq/issues/4070
2,b62d3b2fdb831794b55832848dd3ba420f1ab86e,d4093d71acc0b7e7f389bc20010483fc64dd9da8,apache_rocketmq-4457,https://github.com/apache/rocketmq/issues/4426
3,ee1c9b31ce313e14c8eb559731e427840d316643,0bd8bdf7f91180d9a0a521b9954848841c41252e,apache_rocketmq-4569,https://github.com/apache/rocketmq/issues/4568
4,c5f80713be085e44c575e6ca25baba497b7d078c,e3c2111febcc90e64c3860cef539bb6b9780c12c,apache_rocketmq-4822,https://github.com/apache/rocketmq/issues/4821
5,d8c2930a204c34c17de7677629b3654f77878c6d,9e63f09ad86229636f3708023e4fa00e4e2c5ab1,apache_rocketmq-5286,https://github.com/apache/rocketmq/issues/5285
6,70495270f4883aadddb2aa3d7890c898ae497bdc,4cc33115903a8eeaba30d635e1f2dc356770e5f7,apache_rocketmq-6124,https://github.com/apache/rocketmq/issues/6123
7,61c4ba5009a9fe1fa2d68135e2349e85d556db3a,9e0fb1b0293aebbe5019e55c0fdbd356611b3d16,apache_rocketmq-6184,https://github.com/apache/rocketmq/issues/6169
8,b4e6acca32d13dadffe853aff6a0b1d390833151,b410557e873ee4bdfa56561eb719a26007c1a3bb,apache_rocketmq-6618,https://github.com/apache/rocketmq/issues/6609
9,b00c82caccea8d8a23614c1854885d0a187e159e,dcf7ccdd9ba92c22a44cde4c1df36c4d1ef6a172,apache_rocketmq-6651,https://github.com/apache/rocketmq/issues/6650
10,3dcba4b5cd13556def95327372e5c1e50449a166,eef581b464d0144a3ec400a20087196f7eefd764,apache_rocketmq-6786,https://github.com/apache/rocketmq/issues/6785
11,f4439c971c935e2427853589f816fffdcc9c36b6,40ada807b3d649eb5db504a3f46e01a6facb1c0d,apache_rocketmq-6829,https://github.com/apache/rocketmq/issues/6828
12,2246c32537297174a7e7b921031a14de42ffbcb7,0b76f6f6194d608ed6c97023d36c30940ec6189e,apache_rocketmq-6909,https://github.com/apache/rocketmq/issues/6908
13,646e2a4942c62eb36b1601a41ebc0828e8580804,7a8ad0cbb68c01459b78cc4ccda04e5d2e5d557f,apache_rocketmq-7027,https://github.com/apache/rocketmq/issues/7026
14,2c5808b9fdab8cae63318c89f34ad48a1ab6e962,ebad3c8a6b41915edb3db65fca593123b296042d,apache_rocketmq-7048,https://github.com/apache/rocketmq/issues/7047
15,d79737788078707168c0258c4af0d800de32c137,d0a69be563785ca815dc31ef1aab4c1bc5588c01,apache_rocketmq-7073,https://github.com/apache/rocketmq/issues/6810
16,d000ef947d7c99918ceba0fa451c1e29fd84ba07,f82718ae3b77a16b553c03f672dc971a2d5d48fa,apache_rocketmq-7209,https://github.com/apache/rocketmq/issues/7208
17,dddd58d2cc8622eb70f55b447ffb772700c0e916,1a8e7cb17cb29ed33b0196b52e452a6e76ade781,apache_rocketmq-7346,https://github.com/apache/rocketmq/issues/7345
18,9e4fd0e68a1ea6ab1b1f3344ac9ae79af29a32c2,806454bc5e29d2f157cde99bdb082f94cdb377fa,apache_rocketmq-7712,https://github.com/apache/rocketmq/issues/7710
19,a33f1d1c72a785744f586ce2e92a45f25dd5ebd5,918accbc5307db60339705439083f42082cf0f46,apache_rocketmq-7863,https://github.com/apache/rocketmq/issues/7848
